src_ip,dst_ip,protocol,length,label
14,13,17,74,0
13,14,17,90,0
14,4,6,74,0
4,14,6,74,0
14,4,6,66,0
14,4,6,1298,0
14,4,6,72,0
14,4,6,236,0
4,14,6,66,0
4,14,6,66,0
4,14,6,834,0
14,4,6,66,0
4,14,6,128,0
4,14,6,97,0
14,4,6,66,0
14,4,6,66,0
14,4,6,150,0
14,4,6,97,0
4,14,6,66,0
14,13,17,74,0
14,13,17,74,1
13,14,17,90,1
13,14,17,102,0
14,4,17,1399,0
14,4,17,1399,0
14,4,17,909,0
4,14,17,1399,1
4,14,17,657,0
4,14,17,69,1
14,4,17,155,1
4,14,17,165,0
4,14,17,67,0
14,4,17,73,1
14,13,17,76,0
14,16,6,74,0
4,14,17,1011,0
14,4,17,78,0
13,14,17,128,0
16,14,6,74,0
14,16,6,66,0
14,16,6,1349,0
16,14,6,66,0
4,14,17,69,0
4,14,17,1395,0
4,14,17,1399,0
14,4,17,73,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
14,4,17,73,0
4,14,17,1329,0
4,14,17,1394,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,216,0
14,4,17,73,1
16,14,6,320,0
14,16,6,66,1
14,16,6,146,0
14,16,6,236,0
16,14,6,353,0
16,14,6,128,0
16,14,6,97,0
14,16,6,97,0
16,14,6,66,0
4,14,17,1392,0
4,14,17,1399,0
14,4,17,73,1
4,14,17,1399,0
4,14,17,161,0
14,4,17,73,0
4,14,17,975,1
4,14,17,648,0
14,4,17,73,0
4,14,17,1392,0
4,14,17,1043,0
4,14,17,437,0
4,14,17,1392,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1368,0
4,14,17,594,1
4,14,17,1392,0
4,14,17,267,0
4,14,17,499,0
14,4,17,73,0
4,14,17,1392,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
14,4,17,73,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,73,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
14,4,17,73,0
4,14,17,1399,0
4,14,17,1270,0
14,4,17,73,0
4,14,17,1392,0
4,14,17,132,0
14,4,17,73,0
4,14,17,1392,1
4,14,17,1399,0
14,4,17,73,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1116,0
14,4,17,73,0
4,14,17,1392,0
4,14,17,1399,1
14,4,17,74,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,631,0
14,4,17,75,0
4,14,17,1392,0
14,4,17,76,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1362,0
4,14,17,1392,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,518,0
4,14,17,1392,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
14,4,17,75,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,518,0
4,14,17,398,0
4,14,17,324,0
14,4,17,75,0
14,13,17,85,0
14,13,17,85,0
14,13,17,77,1
14,13,17,77,0
13,14,17,93,0
14,13,17,75,1
14,13,17,75,0
13,14,17,91,1
13,14,17,103,0
14,13,17,78,1
14,13,17,78,0
13,14,17,94,0
14,11,17,1399,0
13,14,17,105,0
14,8,17,1399,0
13,14,17,130,0
13,14,17,106,0
14,7,17,1399,0
13,14,17,142,0
8,14,17,1399,0
8,14,17,657,0
14,8,17,155,0
11,14,17,1399,0
11,14,17,657,0
14,8,17,132,0
11,14,17,69,0
8,14,17,69,0
8,14,17,165,0
14,11,17,155,0
7,14,17,1399,0
7,14,17,657,0
14,2,17,1399,1
14,7,17,1060,0
7,14,17,69,0
11,14,17,165,0
7,14,17,165,0
14,8,17,74,0
8,14,17,69,0
2,14,17,1399,0
2,14,17,657,0
14,2,17,155,0
14,11,17,74,0
14,7,17,74,0
2,14,17,69,0
2,14,17,165,0
7,14,17,73,0
7,14,17,1190,0
14,7,17,83,0
7,14,17,66,0
7,14,17,73,0
14,7,17,73,1
14,2,17,74,0
14,13,17,88,0
14,13,17,88,0
13,14,17,116,0
13,14,17,104,0
14,5,17,1399,0
5,14,17,1399,0
14,5,17,82,0
5,14,17,1399,0
5,14,17,1399,0
14,5,17,185,0
5,14,17,1399,1
5,14,17,1399,0
5,14,17,1399,1
14,5,17,84,0
5,14,17,1399,0
5,14,17,1399,0
5,14,17,571,0
5,14,17,85,0
14,5,17,87,0
14,5,17,240,0
14,5,17,1399,1
14,5,17,1154,0
5,14,17,657,0
5,14,17,166,0
14,5,17,75,0
5,14,17,68,0
5,14,17,73,0
14,5,17,73,0
5,14,17,877,0
14,5,17,83,0
5,14,17,159,0
5,14,17,73,0
14,5,17,73,0
14,4,17,1399,0
14,4,17,782,0
14,4,17,77,1
4,14,17,435,0
4,14,17,74,0
14,4,17,80,0
14,8,17,1399,0
4,14,17,70,0
8,14,17,1399,0
8,14,17,657,0
14,8,17,155,0
8,14,17,171,0
14,8,17,74,0
14,4,17,1399,0
14,4,17,825,0
14,4,17,1399,0
14,4,17,1080,0
4,14,17,73,0
14,4,17,75,0
4,14,17,73,0
14,4,17,1399,1
14,4,17,1399,1
14,4,17,437,1
14,4,17,1399,0
14,4,17,1185,0
4,14,17,69,0
4,14,17,73,1
14,4,17,75,0
4,14,17,74,0
4,14,17,991,0
14,4,17,80,0
4,14,17,71,0
4,14,17,106,0
14,4,17,75,0
4,14,17,70,0
4,14,17,1395,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,80,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,1
4,14,17,578,0
4,14,17,1394,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,626,0
14,4,17,81,0
4,14,17,69,0
4,14,17,1395,0
4,14,17,1399,0
14,4,17,80,0
4,14,17,1052,0
14,4,17,84,0
4,14,17,268,0
4,14,17,75,0
14,4,17,75,0
14,4,17,1399,0
14,4,17,1399,0
14,4,17,647,0
14,4,17,1399,0
14,4,17,1197,0
4,14,17,69,0
4,14,17,73,0
14,4,17,75,1
4,14,17,75,1
14,4,17,75,0
4,14,17,1395,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,80,0
4,14,17,1399,0
4,14,17,598,0
4,14,17,79,1
14,4,17,75,0
4,14,17,1395,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,80,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,1
4,14,17,254,0
14,4,17,75,0
4,14,17,1394,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,512,0
14,4,17,75,0
14,4,17,75,0
4,14,17,1392,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,524,0
14,4,17,75,0
4,14,17,1392,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,504,0
4,14,17,1392,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,518,1
14,4,17,76,0
4,14,17,1392,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,518,0
4,14,17,1392,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1261,0
4,14,17,110,0
14,4,17,75,0
14,4,17,1399,0
14,4,17,885,1
14,4,17,1399,1
14,4,17,1399,0
14,4,17,110,0
14,4,17,1399,0
14,4,17,1235,0
4,14,17,74,0
14,4,17,75,0
4,14,17,70,0
4,14,17,1395,1
4,14,17,1399,0
14,4,17,73,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,1
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,0
14,4,17,75,1
4,14,17,1399,1
4,14,17,1399,0
4,14,17,1399,1
14,4,17,75,0
4,14,17,170,0
4,14,17,74,0
14,4,17,75,1
4,14,17,1395,0
4,14,17,1399,0
4,14,17,229,0
14,4,17,80,1
4,14,17,71,0
4,14,17,1395,0
4,14,17,1399,0
4,14,17,1399,0
4,14,17,1146,0
4,14,17,1394,0
4,14,17,681,0
14,4,17,80,0
4,14,17,71,0
14,4,17,1399,0
14,4,17,1399,0
14,4,17,816,0
4,14,17,71,0
4,14,17,75,0
14,4,17,75,1
14,13,17,86,0
14,13,17,86,0
14,13,17,86,0
14,13,17,86,0
14,13,17,86,0
14,13,17,86,0
13,14,17,114,0
13,14,17,102,1
13,14,17,114,0
13,14,17,102,0
